951	283	4
951	282	4
951	2170	3
951	43	5
951	8249	5
2276	8	4
2276	289	1
2276	561	4
2276	89	4
2276	371	5
2276	633	5
2276	1179	5
2276	4034	5
2276	6318	4
2276	7904	4
2276	5141	4
2276	492	3
2276	760	3
2276	838	3
2276	1213	2
2276	474	5
2276	4120	4
2276	283	4
2276	1368	4
2276	429	3
2276	894	5
2276	1342	5
2276	1924	3
2276	1337	4
2276	1768	3
2276	1343	3
2276	755	3
2276	1089	3
2276	2086	3
2276	2501	3
2276	2043	3
2276	2554	4
2276	2271	4
2276	2677	3
2276	2470	5
2276	2489	3
2276	2718	4
2276	2944	4
2276	2109	3
2276	2452	3
2276	6144	3
2276	3000	4
2276	3200	2
2276	2469	2
2276	2658	2
2276	3359	2
2276	3362	4
2276	2936	2
2276	168	5
2276	72	4
2276	176	4
2276	243	3
2276	305	3
2276	349	3
2276	691	3
2276	553	3
2276	1261	4
2276	1248	4
2276	915	3
2276	609	3
2276	3937	4
2276	5763	4
2276	5188	3
2276	1987	5
2276	191	5
2276	5657	5
2276	196	5
2276	951	5
2276	1124	3
2276	1389	4
2276	854	3
2276	1236	4
2276	4369	2
2276	1645	4
2276	743	5
2276	1153	4
2276	2034	3
2276	3254	4
2276	3883	3
2276	4031	3
2276	130	4
2276	401	5
2276	395	3
2276	1202	2
2276	8598	4
2276	4394	4
2276	637	5
2276	1980	4
2276	1641	3
2276	1074	5
2276	1704	3
2276	2552	3
2276	350	5
2276	170	1
2276	145	1
2276	3133	2
2276	276	5
2276	789	4
2276	890	4
2276	2646	3
2276	1914	4
2276	2624	3
2276	2196	4
2276	3754	4
2276	3978	4
2276	3072	3
2276	5055	4
2276	2755	4
2276	9699	2
2276	257	3
2276	503	4
2276	1019	4
2276	897	2
2276	95	2
2276	126	5
2276	1105	4
2276	1262	3
2276	2045	2
2276	2491	2
2276	2817	2
2276	6188	3
2276	8049	3
2276	9675	3
2276	6440	3
2276	8766	4
2276	9143	4
2276	7949	4
2276	929	4
2276	4613	4
2276	2673	2
2276	8388	3
2276	5329	3
2276	7274	3
2276	1817	3
2276	5201	4
2276	5443	4
2276	5764	3
2276	28	2
2276	666	4
2276	322	3
2276	1886	5
2276	4228	4
2276	4881	4
2276	6606	4
2276	5879	4
2276	5752	4
2276	7027	4
2276	7014	4
2276	6611	4
2276	167	4
2276	1367	3
2276	2498	2
2276	6920	5
2276	7254	4
2276	1010	5
2276	3869	4
2276	499	4
2276	1908	4
2276	2806	3
2276	1466	4
2276	6291	3
2276	4016	2
2276	670	3
2276	556	3
2276	1139	3
2276	4196	2
2276	1042	4
2276	1727	4
2276	337	5
2276	129	4
2276	321	3
2276	3551	3
2276	696	3
2276	365	4
2276	32	4
2276	1620	3
2276	301	2
2276	173	4
2276	205	3
2276	390	3
2276	410	1
2276	142	5
2276	6284	4
2276	103	4
2487	4700	4
2487	3750	4
2487	5337	4
2487	7822	3
2487	5564	3
2487	7162	3
2487	8067	3
2487	5920	4
2276	2881	5
3087	33	4
3087	28	4
3087	32	4
3087	14	3
3087	58	5
3087	65	3
3087	22	4
3087	60	5
3087	115	5
3087	57	3
3087	9	3
3087	38	3
3087	29	5
3087	45	5
3087	100	3
3087	67	5
3087	35	5
3087	40	3
3087	119	3
3087	122	4
3087	121	5
3087	94	4
3087	495	5
3087	42	3
3087	287	5
3087	669	3
3087	1642	2
3087	736	4
2487	642	5
3662	212	4
3662	6029	5
3662	6941	3
3662	6023	3
3662	7624	3
3662	6836	5
3662	9132	3
3922	10	5
3922	230	3
3922	171	4
