word	IDF_val
agnes	3.226685810554666
omen	3.101747073946366
good	2.425053464321499
nice	3.226685810554666
nutter	3.402777069610347
accurate	3.402777069610347
prophecy	2.9256558148906846
witch	2.5898637129674915
coraline	3.402777069610347
eyre	3.226685810554666
jane	3.101747073946366
rye	3.402777069610347
catcher	3.402777069610347
watership	3.402777069610347
tollbooth	3.402777069610347
phantom	3.0048370609383097
princess	2.425053464321499
bride	3.0048370609383097
stranger	2.7495645558350033
strange	2.7038070652743285
land	2.7495645558350033
trooper	3.402777069610347
starship	3.402777069610347
harsh	3.402777069610347
moon	2.3613843844521223
mistress	3.226685810554666
dead	2.1356053412073335
speaker	3.402777069610347
enders	3.226685810554666
shadow	2.2888337173035103
xenocide	3.402777069610347
child	2.305867056602291
mind	2.6246258192267033
god	2.147504564507041
delusion	3.402777069610347
small	2.8007170782823847
magic	2.473358143896055
colour	3.402777069610347
guard	3.402777069610347
watch	3.226685810554666
night	2.013610985245815
postal	3.402777069610347
going	2.9256558148906846
fantastic	3.101747073946366
light	2.4996870826184034
mort	3.226685810554666
equal	3.226685810554666
rite	3.226685810554666
stand	3.101747073946366
shining	3.0048370609383097
misery	3.402777069610347
sematary	3.402777069610347
pet	3.402777069610347
lot	3.101747073946366
salem	3.101747073946366
memoir	2.3235958235627225
writing	3.0048370609383097
craft	3.402777069610347
dragon	2.425053464321499
eye	2.527715806218647
talisman	3.402777069610347
insomnia	3.402777069610347
cell	3.402777069610347
watchman	3.226685810554666
fight	3.402777069610347
club	2.425053464321499
survivor	2.9256558148906846
diary	2.381587770540409
monster	2.6624143801161035
invisible	2.9256558148906846
haunted	3.226685810554666
novel	2.2566490339321095
story	1.7953220463956787
pal	3.402777069610347
lamb	3.226685810554666
christ	2.9256558148906846
gospel	3.101747073946366
biff	3.402777069610347
childhood	2.9256558148906846
according	3.0048370609383097
job	3.0048370609383097
dirty	3.402777069610347
sea	2.4996870826184034
man	1.9878037216395292
old	2.8587090252600715
arm	3.226685810554666
farewell	3.101747073946366
bell	3.226685810554666
toll	3.226685810554666
tourist	3.402777069610347
accidental	3.402777069610347
chronicle	2.8587090252600715
martian	3.226685810554666
siren	3.402777069610347
titan	3.226685810554666
heart	2.3235958235627225
fear	2.6624143801161035
journey	2.6624143801161035
loathing	3.226685810554666
savage	3.402777069610347
american	2.3235958235627225
dream	2.448534560171022
vega	3.402777069610347
la	2.381587770540409
digital	3.402777069610347
fortress	3.402777069610347
deception	2.9256558148906846
point	2.8587090252600715
foundation	2.7495645558350033
empire	2.7038070652743285
2001	3.402777069610347
space	3.0048370609383097
odyssey	2.9256558148906846
end	2.3613843844521223
rendezvous	3.402777069610347
rama	3.0048370609383097
picture	2.8587090252600715
dorian	3.226685810554666
gray	3.101747073946366
dune	2.5898637129674915
	1.2310506159571162
messiah	3.226685810554666
legend	2.8007170782823847
fly	3.0048370609383097
lord	2.4996870826184034
boy	2.185293125396441
anansi	3.402777069610347
neverwhere	3.226685810554666
future	2.8007170782823847
king	2.2888337173035103
calvin	2.7038070652743285
essential	3.226685810554666
hobbes	2.7038070652743285
treasury	3.226685810554666
psycho	3.101747073946366
zone	3.226685810554666
cujo	3.402777069610347
tommyknockers	3.402777069610347
agency	3.226685810554666
holistic	3.402777069610347
detective	2.9256558148906846
dirk	3.226685810554666
gentlys	3.402777069610347
complete	2.3420792292567354
hitchhiker	3.0048370609383097
guide	2.4996870826184034
one	1.955619038268128
five	2.7038070652743285
ultimate	3.0048370609383097
flew	3.402777069610347
cuckoo	3.226685810554666
nest	3.0048370609383097
lestat	3.101747073946366
vampire	2.448534560171022
vendetta	3.226685810554666
v	3.101747073946366
men	2.425053464321499
mouse	2.8007170782823847
darkness	2.527715806218647
orange	3.0048370609383097
clockwork	3.0048370609383097
interview	3.402777069610347
case	2.6246258192267033
hyde	3.101747073946366
jekyll	3.101747073946366
mr	2.3235958235627225
dr	2.7495645558350033
apart	3.402777069610347
fall	2.527715806218647
thing	2.4996870826184034
earth	2.527715806218647
pillar	3.226685810554666
montecristo	3.402777069610347
de	2.2124453714400554
le	2.305867056602291
comte	3.402777069610347
geisha	3.402777069610347
fairy	3.402777069610347
animal	2.7038070652743285
farm	2.8007170782823847
adventure	2.402777069610347
huckleberry	3.226685810554666
finn	3.226685810554666
dutydance	3.402777069610347
crusade	3.226685810554666
childrens	3.402777069610347
death	1.9403790717113911
slaughterhousefive	3.402777069610347
lovely	3.0048370609383097
bone	2.2414090673753724
nighttime	3.402777069610347
dog	2.5898637129674915
incident	3.101747073946366
curious	2.5898637129674915
middlesex	3.402777069610347
secret	2.147504564507041
bee	3.226685810554666
life	1.789993212890612
angel	2.381587770540409
demon	2.7038070652743285
traveler	3.402777069610347
