book_id	author	TF_author_val
283	terrypratchett	0.7071067811865475
283	neilgaiman	0.7071067811865475
282	neilgaiman	1.0
43	charlottebront	0.7071067811865475
43	michaelmason	0.7071067811865475
8	jdsalinger	1.0
289	richardadams	1.0
561	nortonjuster	0.7071067811865475
561	julesfeiffer	0.7071067811865475
89	williamgoldman	1.0
371	robertaheinlein	1.0
633	robertaheinlein	1.0
1179	robertaheinlein	1.0
492	orsonscottcard	1.0
760	orsonscottcard	1.0
838	orsonscottcard	1.0
1213	orsonscottcard	1.0
474	richarddawkins	1.0
1368	terrypratchett	1.0
429	terrypratchett	1.0
894	terrypratchett	1.0
1342	terrypratchett	1.0
1337	terrypratchett	1.0
1343	terrypratchett	1.0
755	terrypratchett	1.0
1089	terrypratchett	1.0
168	stephenking	0.7071067811865475
168	berniewrightson	0.7071067811865475
72	stephenking	1.0
176	stephenking	1.0
243	stephenking	1.0
305	stephenking	1.0
349	stephenking	1.0
691	stephenking	1.0
1261	stephenking	1.0
1248	stephenking	0.7071067811865475
1248	peterstraub	0.7071067811865475
915	stephenking	0.7071067811865475
915	bettinablanchtyroller	0.7071067811865475
609	stephenking	1.0
191	alanmoore	0.5773502691896258
191	davegibbons	0.5773502691896258
191	johnhiggins	0.5773502691896258
196	chuckpalahniuk	1.0
951	chuckpalahniuk	1.0
1389	chuckpalahniuk	1.0
854	chuckpalahniuk	1.0
1236	chuckpalahniuk	1.0
743	christophermoore	1.0
1153	christophermoore	1.0
130	ernesthemingway	1.0
401	ernesthemingway	1.0
395	ernesthemingway	1.0
1202	annetyler	0.7071067811865475
1202	jenniferbassett	0.7071067811865475
637	raybradbury	1.0
1074	kurtvonnegutjr	1.0
350	huntersthompson	0.7071067811865475
350	ralphsteadman	0.7071067811865475
170	danbrown	1.0
145	danbrown	1.0
276	isaacasimov	1.0
789	isaacasimov	1.0
503	arthurcclarke	1.0
1019	arthurcclarke	1.0
897	arthurcclarke	1.0
95	oscarwilde	0.7071067811865475
95	jeffreyeugenides	0.7071067811865475
126	frankherbert	1.0
1105	frankherbert	1.0
1262	frankherbert	1.0
929	richardmatheson	1.0
28	williamgolding	1.0
666	neilgaiman	1.0
322	neilgaiman	1.0
167	neilgaiman	1.0
1367	thwhite	1.0
1010	billwatterson	1.0
499	breteastonellis	1.0
670	stephenking	1.0
556	stephenking	1.0
1139	stephenking	1.0
1042	douglasadams	1.0
337	douglasadams	1.0
129	kenkesey	1.0
