user_id	year	UA_year_val
951	1990	8.0
951	2002	4.0
951	1998	12.0
951	1847	15.0
951	1967	10.0
951	1999	5.0
951	2006	4.0
951	1954	16.0
951	2003	8.0
951	2004	3.0
951	1995	9.0
951	1996	5.0
951	2000	6.0
951	2005	4.0
951	-720	5.0
951	2008	5.0
951	1859	5.0
951	1860	5.0
951	1838	3.0
951	1849	10.0
951	1937	14.0
951	1945	15.0
951	1815	4.0
951	1844	3.0
951	1939	17.0
951	1953	5.0
951	1876	3.0
951	1952	18.0
951	1969	9.0
951	1961	20.0
951	1955	13.0
951	1851	5.0
951	1950	10.0
951	-750	5.0
951	1899	9.0
951	1726	5.0
951	1956	10.0
951	1972	9.0
951	1959	9.0
951	1942	7.0
951	1963	8.0
951	1962	25.0
951	1852	2.0
951	1922	8.0
951	1943	9.0
951	1900	3.0
951	1957	17.0
951	1881	3.0
951	1904	5.0
951	1915	10.0
951	1985	14.0
951	1974	15.0
951	1964	13.0
951	1929	8.0
951	1871	9.0
951	1960	5.0
951	1667	5.0
951	1854	9.0
951	1812	5.0
951	1892	5.0
951	1965	9.0
951	1906	3.0
951	1928	2.0
951	1947	10.0
951	1940	4.0
951	1914	5.0
951	1895	5.0
951	1979	7.0
951	-430	5.0
951	1925	4.0
951	1864	5.0
951	1977	1.0
951	1913	5.0
951	1987	5.0
951	1835	5.0
951	1971	6.0
951	1927	5.0
951	1973	10.0
951	1897	5.0
951	1923	4.0
951	1951	9.0
951	1919	10.0
951	1934	4.0
951	1926	5.0
951	1980	9.0
951	1887	4.0
951	800	5.0
951	1938	9.0
951	1949	5.0
951	1989	8.0
951	1984	5.0
951	1970	10.0
951	1944	4.0
951	1968	19.0
951	1978	10.0
951	1981	7.0
951	1930	4.0
951	1884	3.0
951	1845	5.0
951	1966	3.0
951	1976	8.0
951	1890	4.0
951	1872	5.0
951	1988	7.0
951	1883	5.0
951	1907	4.0
2276	1951	13.0
2276	1972	5.0
2276	1961	12.0
2276	1973	11.0
2276	1959	10.0
2276	1966	5.0
2276	1985	20.0
2276	1984	10.0
2276	1982	8.0
2276	1986	17.0
2276	1998	20.0
2276	1991	16.0
2276	1996	23.0
2276	2006	17.0
2276	1990	18.0
2276	1992	21.0
2276	1983	10.0
2276	1989	15.0
2276	2002	24.0
2276	2004	14.0
2276	1988	18.0
2276	1987	28.0
2276	1994	10.0
2276	1993	6.0
2276	2003	12.0
2276	2001	14.0
2276	1999	29.0
2276	2000	11.0
2276	1995	8.0
2276	1997	17.0
2276	1978	5.0
2276	1977	10.0
2276	1975	3.0
2276	2007	13.0
2276	1981	9.0
2276	2005	8.0
2276	1952	11.0
2276	1929	5.0
2276	1940	3.0
2276	1950	5.0
2276	1962	11.0
2276	1971	9.0
2276	1954	10.0
2276	1957	4.0
2276	1970	6.0
2276	1968	4.0
2276	1953	4.0
2276	1891	2.0
2276	1965	5.0
2276	1969	4.0
2276	1976	10.0
2276	1946	4.0
2276	1958	8.0
2276	1934	3.0
2276	1979	3.0
2276	1943	2.0
2276	1937	4.0
2276	1899	2.0
2276	1886	3.0
2276	1844	4.0
2487	2003	8.0
2487	1997	24.0
2487	2005	29.0
2487	1999	10.0
2487	2000	18.0
2487	2007	24.0
2487	1960	13.0
2487	1989	5.0
2487	1970	11.0
2487	1955	7.0
2487	1947	4.0
2487	1950	3.0
2487	1925	3.0
2487	1908	4.0
2487	1946	8.0
2487	2006	15.0
2487	1973	4.0
2487	2008	28.0
2487	1859	3.0
2487	1865	3.0
2487	1965	7.0
2487	1891	4.0
2487	1964	4.0
2487	-750	4.0
2487	1851	4.0
2487	1600	4.0
2487	1922	4.0
2487	1931	5.0
2487	1963	5.0
2487	1938	5.0
2487	1967	6.0
2487	1952	9.0
2487	1892	5.0
2487	2001	10.0
2487	1818	4.0
2487	1850	4.0
2487	1982	4.0
2487	1995	15.0
2487	1899	4.0
2487	1971	11.0
2487	1759	2.0
2487	1980	7.0
2487	1977	8.0
2487	1926	3.0
2487	1992	3.0
2487	1390	4.0
2487	1976	6.0
2487	1998	16.0
2487	1975	6.0
2487	1996	17.0
2487	1854	3.0
2487	1918	2.0
2487	1849	6.0
2487	1923	3.0
2487	1986	8.0
2487	1969	3.0
2487	1882	3.0
2487	1993	4.0
2487	1904	3.0
2487	1939	4.0
2487	1954	3.0
2487	-762	3.0
2487	1838	3.0
2487	2002	9.0
2487	1726	3.0
2487	1603	3.0
2487	1990	7.0
2487	1994	9.0
2487	1972	5.0
2487	1988	11.0
2487	1880	3.0
2487	1894	5.0
2487	1961	3.0
2487	1595	4.0
2487	1903	3.0
2487	1985	3.0
2487	1934	4.0
2487	1798	5.0
2487	1942	4.0
2487	1948	3.0
2487	2011	6.0
2487	2010	18.0
2487	2009	17.0
2487	2004	12.0
2487	1981	4.0
3087	1997	21.0
3087	1954	4.0
3087	1937	4.0
3087	1945	6.0
3087	1884	5.0
3087	1969	3.0
3087	2002	12.0
3087	2003	31.0
3087	2001	11.0
3087	2000	16.0
3087	1595	5.0
3087	1998	6.0
3087	2007	15.0
3087	1988	10.0
3087	2006	31.0
3087	1985	8.0
3087	1995	18.0
3087	1955	9.0
3087	1967	9.0
3087	1868	3.0
3087	1943	9.0
3087	1982	3.0
3087	1977	7.0
3087	1952	11.0
3087	1978	10.0
3087	2005	27.0
3087	1947	5.0
3087	2013	2.0
3087	1960	5.0
3087	1958	12.0
3087	1847	5.0
3087	1936	6.0
3087	1600	4.0
3087	1891	7.0
3087	1957	10.0
3087	1866	5.0
3087	-720	3.0
3087	1963	15.0
3087	1876	3.0
3087	1939	8.0
3087	1990	13.0
3087	1966	3.0
3087	1961	18.0
3087	1877	5.0
3087	2009	7.0
